"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-19 07:15:38",2023-10-19
"Blue Mountains Dams","85%","2023-10-19 07:15:38",2023-10-19
"Cataract Dam","66%","2023-10-19 07:15:38",2023-10-19
"Cordeaux Dam","66%","2023-10-19 07:15:38",2023-10-19
"Fitzroy Falls Reservoir","66%","2023-10-19 07:15:38",2023-10-19
"Nepean Dam","72%","2023-10-19 07:15:38",2023-10-19
"Prospect Reservoir","79%","2023-10-19 07:15:38",2023-10-19
"Tallowa Dam","13%","2023-10-19 07:15:38",2023-10-19
"Warragamba Dam","94%","2023-10-19 07:15:38",2023-10-19
"Wingecarribee Reservoir","63%","2023-10-19 07:15:38",2023-10-19
"Woronora Dam","91%","2023-10-19 07:15:38",2023-10-19
"How Much Rain have We had?","0.0MM","2023-10-19 07:15:38",2023-10-19
"How Much Water is in Our Dams?","89%","2023-10-19 07:15:38",2023-10-19
"How Much Water have we Used","9,547ML","2023-10-19 07:15:38",2023-10-19
