"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-12 07:15:51",2023-11-12
"Blue Mountains Dams","84%","2023-11-12 07:15:51",2023-11-12
"Cataract Dam","68%","2023-11-12 07:15:51",2023-11-12
"Cordeaux Dam","65%","2023-11-12 07:15:51",2023-11-12
"Fitzroy Falls Reservoir","64%","2023-11-12 07:15:51",2023-11-12
"Nepean Dam","69%","2023-11-12 07:15:51",2023-11-12
"Prospect Reservoir","96%","2023-11-12 07:15:51",2023-11-12
"Tallowa Dam","0%","2023-11-12 07:15:51",2023-11-12
"Warragamba Dam","92%","2023-11-12 07:15:51",2023-11-12
"Wingecarribee Reservoir","60%","2023-11-12 07:15:51",2023-11-12
"Woronora Dam","91%","2023-11-12 07:15:51",2023-11-12
"How Much Rain have We had?","1.2MM","2023-11-12 07:15:51",2023-11-12
"How Much Water is in Our Dams?","88%","2023-11-12 07:15:51",2023-11-12
"How Much Water have we Used","1,361ML","2023-11-12 07:15:51",2023-11-12
