"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","81%","2023-09-04 07:16:04",2023-09-04
"Blue Mountains Dams","87%","2023-09-04 07:16:04",2023-09-04
"Cataract Dam","67%","2023-09-04 07:16:04",2023-09-04
"Cordeaux Dam","75%","2023-09-04 07:16:04",2023-09-04
"Fitzroy Falls Reservoir","73%","2023-09-04 07:16:04",2023-09-04
"Nepean Dam","73%","2023-09-04 07:16:04",2023-09-04
"Prospect Reservoir","93%","2023-09-04 07:16:04",2023-09-04
"Tallowa Dam","17%","2023-09-04 07:16:04",2023-09-04
"Warragamba Dam","95%","2023-09-04 07:16:04",2023-09-04
"Wingecarribee Reservoir","67%","2023-09-04 07:16:04",2023-09-04
"Woronora Dam","94%","2023-09-04 07:16:04",2023-09-04
"How Much Rain have We had?","0.0MM","2023-09-04 07:16:04",2023-09-04
"How Much Water is in Our Dams?","91%","2023-09-04 07:16:04",2023-09-04
"How Much Water have we Used","1,302ML","2023-09-04 07:16:04",2023-09-04
