"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-10-02 07:17:18",2023-10-02
"Blue Mountains Dams","86%","2023-10-02 07:17:18",2023-10-02
"Cataract Dam","66%","2023-10-02 07:17:18",2023-10-02
"Cordeaux Dam","69%","2023-10-02 07:17:18",2023-10-02
"Fitzroy Falls Reservoir","69%","2023-10-02 07:17:18",2023-10-02
"Nepean Dam","73%","2023-10-02 07:17:18",2023-10-02
"Prospect Reservoir","87%","2023-10-02 07:17:18",2023-10-02
"Tallowa Dam","11%","2023-10-02 07:17:18",2023-10-02
"Warragamba Dam","94%","2023-10-02 07:17:18",2023-10-02
"Wingecarribee Reservoir","64%","2023-10-02 07:17:18",2023-10-02
"Woronora Dam","92%","2023-10-02 07:17:18",2023-10-02
"How Much Rain have We had?","0.0MM","2023-10-02 07:17:18",2023-10-02
"How Much Water is in Our Dams?","90%","2023-10-02 07:17:18",2023-10-02
"How Much Water have we Used","1,410ML","2023-10-02 07:17:18",2023-10-02
