"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-22 07:15:22",2023-09-22
"Blue Mountains Dams","87%","2023-09-22 07:15:22",2023-09-22
"Cataract Dam","66%","2023-09-22 07:15:22",2023-09-22
"Cordeaux Dam","71%","2023-09-22 07:15:22",2023-09-22
"Fitzroy Falls Reservoir","70%","2023-09-22 07:15:22",2023-09-22
"Nepean Dam","73%","2023-09-22 07:15:22",2023-09-22
"Prospect Reservoir","91%","2023-09-22 07:15:22",2023-09-22
"Tallowa Dam","20%","2023-09-22 07:15:22",2023-09-22
"Warragamba Dam","94%","2023-09-22 07:15:22",2023-09-22
"Wingecarribee Reservoir","65%","2023-09-22 07:15:22",2023-09-22
"Woronora Dam","93%","2023-09-22 07:15:22",2023-09-22
"How Much Rain have We had?","0.8MM","2023-09-22 07:15:22",2023-09-22
"How Much Water is in Our Dams?","90%","2023-09-22 07:15:22",2023-09-22
"How Much Water have we Used","1,617ML","2023-09-22 07:15:22",2023-09-22
