"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-10-01 07:15:28",2023-10-01
"Blue Mountains Dams","87%","2023-10-01 07:15:28",2023-10-01
"Cataract Dam","66%","2023-10-01 07:15:28",2023-10-01
"Cordeaux Dam","69%","2023-10-01 07:15:28",2023-10-01
"Fitzroy Falls Reservoir","69%","2023-10-01 07:15:28",2023-10-01
"Nepean Dam","73%","2023-10-01 07:15:28",2023-10-01
"Prospect Reservoir","89%","2023-10-01 07:15:28",2023-10-01
"Tallowa Dam","11%","2023-10-01 07:15:28",2023-10-01
"Warragamba Dam","94%","2023-10-01 07:15:28",2023-10-01
"Wingecarribee Reservoir","64%","2023-10-01 07:15:28",2023-10-01
"Woronora Dam","92%","2023-10-01 07:15:28",2023-10-01
"How Much Rain have We had?","0.0MM","2023-10-01 07:15:28",2023-10-01
"How Much Water is in Our Dams?","90%","2023-10-01 07:15:28",2023-10-01
"How Much Water have we Used","1,410ML","2023-10-01 07:15:28",2023-10-01
