"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","81%","2023-08-25 07:14:56",2023-08-25
"Blue Mountains Dams","85%","2023-08-25 07:14:56",2023-08-25
"Cataract Dam","67%","2023-08-25 07:14:56",2023-08-25
"Cordeaux Dam","77%","2023-08-25 07:14:56",2023-08-25
"Fitzroy Falls Reservoir","74%","2023-08-25 07:14:56",2023-08-25
"Nepean Dam","73%","2023-08-25 07:14:56",2023-08-25
"Prospect Reservoir","93%","2023-08-25 07:14:56",2023-08-25
"Tallowa Dam","38%","2023-08-25 07:14:56",2023-08-25
"Warragamba Dam","95%","2023-08-25 07:14:56",2023-08-25
"Wingecarribee Reservoir","68%","2023-08-25 07:14:56",2023-08-25
"Woronora Dam","95%","2023-08-25 07:14:56",2023-08-25
"How Much Rain have We had?","0.2MM","2023-08-25 07:14:56",2023-08-25
"How Much Water is in Our Dams?","92%","2023-08-25 07:14:56",2023-08-25
"How Much Water have we Used","1,290ML","2023-08-25 07:14:56",2023-08-25
