"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-09 07:15:51",2023-11-09
"Blue Mountains Dams","84%","2023-11-09 07:15:51",2023-11-09
"Cataract Dam","68%","2023-11-09 07:15:51",2023-11-09
"Cordeaux Dam","65%","2023-11-09 07:15:51",2023-11-09
"Fitzroy Falls Reservoir","64%","2023-11-09 07:15:51",2023-11-09
"Nepean Dam","69%","2023-11-09 07:15:51",2023-11-09
"Prospect Reservoir","94%","2023-11-09 07:15:51",2023-11-09
"Tallowa Dam","0%","2023-11-09 07:15:51",2023-11-09
"Warragamba Dam","92%","2023-11-09 07:15:51",2023-11-09
"Wingecarribee Reservoir","60%","2023-11-09 07:15:51",2023-11-09
"Woronora Dam","91%","2023-11-09 07:15:51",2023-11-09
"How Much Rain have We had?","4.5MM","2023-11-09 07:15:50",2023-11-09
"How Much Water is in Our Dams?","88%","2023-11-09 07:15:50",2023-11-09
"How Much Water have we Used","1,422ML","2023-11-09 07:15:50",2023-11-09
