"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-21 07:14:24",2023-10-21
"Blue Mountains Dams","85%","2023-10-21 07:14:24",2023-10-21
"Cataract Dam","66%","2023-10-21 07:14:24",2023-10-21
"Cordeaux Dam","66%","2023-10-21 07:14:24",2023-10-21
"Fitzroy Falls Reservoir","66%","2023-10-21 07:14:24",2023-10-21
"Nepean Dam","71%","2023-10-21 07:14:24",2023-10-21
"Prospect Reservoir","81%","2023-10-21 07:14:24",2023-10-21
"Tallowa Dam","13%","2023-10-21 07:14:24",2023-10-21
"Warragamba Dam","94%","2023-10-21 07:14:24",2023-10-21
"Wingecarribee Reservoir","63%","2023-10-21 07:14:24",2023-10-21
"Woronora Dam","91%","2023-10-21 07:14:24",2023-10-21
"How Much Rain have We had?","0.0MM","2023-10-21 07:14:24",2023-10-21
"How Much Water is in Our Dams?","89%","2023-10-21 07:14:24",2023-10-21
"How Much Water have we Used","9,540ML","2023-10-21 07:14:24",2023-10-21
