"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-10-07 07:14:14",2023-10-07
"Blue Mountains Dams","87%","2023-10-07 07:14:14",2023-10-07
"Cataract Dam","66%","2023-10-07 07:14:14",2023-10-07
"Cordeaux Dam","68%","2023-10-07 07:14:14",2023-10-07
"Fitzroy Falls Reservoir","69%","2023-10-07 07:14:14",2023-10-07
"Nepean Dam","73%","2023-10-07 07:14:14",2023-10-07
"Prospect Reservoir","81%","2023-10-07 07:14:14",2023-10-07
"Tallowa Dam","13%","2023-10-07 07:14:14",2023-10-07
"Warragamba Dam","94%","2023-10-07 07:14:14",2023-10-07
"Wingecarribee Reservoir","64%","2023-10-07 07:14:14",2023-10-07
"Woronora Dam","92%","2023-10-07 07:14:14",2023-10-07
"How Much Rain have We had?","0.4MM","2023-10-07 07:14:14",2023-10-07
"How Much Water is in Our Dams?","90%","2023-10-07 07:14:14",2023-10-07
"How Much Water have we Used","1,504ML","2023-10-07 07:14:14",2023-10-07
