"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-09-30 07:14:23",2023-09-30
"Blue Mountains Dams","87%","2023-09-30 07:14:23",2023-09-30
"Cataract Dam","66%","2023-09-30 07:14:23",2023-09-30
"Cordeaux Dam","70%","2023-09-30 07:14:23",2023-09-30
"Fitzroy Falls Reservoir","69%","2023-09-30 07:14:23",2023-09-30
"Nepean Dam","73%","2023-09-30 07:14:23",2023-09-30
"Prospect Reservoir","90%","2023-09-30 07:14:23",2023-09-30
"Tallowa Dam","12%","2023-09-30 07:14:23",2023-09-30
"Warragamba Dam","94%","2023-09-30 07:14:23",2023-09-30
"Wingecarribee Reservoir","64%","2023-09-30 07:14:23",2023-09-30
"Woronora Dam","92%","2023-09-30 07:14:23",2023-09-30
"How Much Rain have We had?","0.0MM","2023-09-30 07:14:23",2023-09-30
"How Much Water is in Our Dams?","90%","2023-09-30 07:14:23",2023-09-30
"How Much Water have we Used","1,398ML","2023-09-30 07:14:23",2023-09-30
