"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-10-30 07:16:04",2023-10-30
"Blue Mountains Dams","84%","2023-10-30 07:16:04",2023-10-30
"Cataract Dam","65%","2023-10-30 07:16:04",2023-10-30
"Cordeaux Dam","66%","2023-10-30 07:16:04",2023-10-30
"Fitzroy Falls Reservoir","64%","2023-10-30 07:16:04",2023-10-30
"Nepean Dam","70%","2023-10-30 07:16:04",2023-10-30
"Prospect Reservoir","83%","2023-10-30 07:16:04",2023-10-30
"Tallowa Dam","2%","2023-10-30 07:16:04",2023-10-30
"Warragamba Dam","93%","2023-10-30 07:16:04",2023-10-30
"Wingecarribee Reservoir","62%","2023-10-30 07:16:04",2023-10-30
"Woronora Dam","90%","2023-10-30 07:16:04",2023-10-30
"How Much Rain have We had?","0.0MM","2023-10-30 07:16:04",2023-10-30
"How Much Water is in Our Dams?","89%","2023-10-30 07:16:04",2023-10-30
"How Much Water have we Used","1,602ML","2023-10-30 07:16:04",2023-10-30
