"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-14 07:14:19",2023-10-14
"Blue Mountains Dams","86%","2023-10-14 07:14:19",2023-10-14
"Cataract Dam","66%","2023-10-14 07:14:19",2023-10-14
"Cordeaux Dam","67%","2023-10-14 07:14:19",2023-10-14
"Fitzroy Falls Reservoir","67%","2023-10-14 07:14:19",2023-10-14
"Nepean Dam","73%","2023-10-14 07:14:19",2023-10-14
"Prospect Reservoir","75%","2023-10-14 07:14:19",2023-10-14
"Tallowa Dam","13%","2023-10-14 07:14:19",2023-10-14
"Warragamba Dam","94%","2023-10-14 07:14:19",2023-10-14
"Wingecarribee Reservoir","64%","2023-10-14 07:14:19",2023-10-14
"Woronora Dam","91%","2023-10-14 07:14:19",2023-10-14
"How Much Rain have We had?","0.0MM","2023-10-14 07:14:19",2023-10-14
"How Much Water is in Our Dams?","89%","2023-10-14 07:14:19",2023-10-14
"How Much Water have we Used","1,523ML","2023-10-14 07:14:19",2023-10-14
