"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-22 07:14:26",2023-10-22
"Blue Mountains Dams","84%","2023-10-22 07:14:26",2023-10-22
"Cataract Dam","66%","2023-10-22 07:14:26",2023-10-22
"Cordeaux Dam","66%","2023-10-22 07:14:26",2023-10-22
"Fitzroy Falls Reservoir","66%","2023-10-22 07:14:26",2023-10-22
"Nepean Dam","71%","2023-10-22 07:14:26",2023-10-22
"Prospect Reservoir","82%","2023-10-22 07:14:26",2023-10-22
"Tallowa Dam","11%","2023-10-22 07:14:26",2023-10-22
"Warragamba Dam","94%","2023-10-22 07:14:26",2023-10-22
"Wingecarribee Reservoir","63%","2023-10-22 07:14:26",2023-10-22
"Woronora Dam","91%","2023-10-22 07:14:26",2023-10-22
"How Much Rain have We had?","0.0MM","2023-10-22 07:14:26",2023-10-22
"How Much Water is in Our Dams?","89%","2023-10-22 07:14:26",2023-10-22
"How Much Water have we Used","9,549ML","2023-10-22 07:14:26",2023-10-22
