"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-04 07:11:41",2023-12-04
"Blue Mountains Dams","88%","2023-12-04 07:11:41",2023-12-04
"Cataract Dam","70%","2023-12-04 07:11:41",2023-12-04
"Cordeaux Dam","65%","2023-12-04 07:11:41",2023-12-04
"Fitzroy Falls Reservoir","68%","2023-12-04 07:11:41",2023-12-04
"Nepean Dam","72%","2023-12-04 07:11:41",2023-12-04
"Prospect Reservoir","87%","2023-12-04 07:11:41",2023-12-04
"Tallowa Dam","100%","2023-12-04 07:11:41",2023-12-04
"Warragamba Dam","92%","2023-12-04 07:11:41",2023-12-04
"Wingecarribee Reservoir","62%","2023-12-04 07:11:41",2023-12-04
"Woronora Dam","90%","2023-12-04 07:11:41",2023-12-04
"How Much Rain have We had?","1.9MM","2023-12-04 07:11:41",2023-12-04
"How Much Water is in Our Dams?","88%","2023-12-04 07:11:41",2023-12-04
"How Much Water have we Used","1,355ML","2023-12-04 07:11:41",2023-12-04
