"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-12-17 07:07:31",2023-12-17
"Blue Mountains Dams","86%","2023-12-17 07:07:31",2023-12-17
"Cataract Dam","67%","2023-12-17 07:07:31",2023-12-17
"Cordeaux Dam","63%","2023-12-17 07:07:31",2023-12-17
"Fitzroy Falls Reservoir","56%","2023-12-17 07:07:31",2023-12-17
"Nepean Dam","72%","2023-12-17 07:07:31",2023-12-17
"Prospect Reservoir","90%","2023-12-17 07:07:31",2023-12-17
"Tallowa Dam","100%","2023-12-17 07:07:31",2023-12-17
"Warragamba Dam","91%","2023-12-17 07:07:31",2023-12-17
"Wingecarribee Reservoir","60%","2023-12-17 07:07:31",2023-12-17
"Woronora Dam","89%","2023-12-17 07:07:31",2023-12-17
"How Much Rain have We had?","0.0MM","2023-12-17 07:07:31",2023-12-17
"How Much Water is in Our Dams?","87%","2023-12-17 07:07:31",2023-12-17
"How Much Water have we Used","1,629ML","2023-12-17 07:07:31",2023-12-17
