"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-10-08 07:14:16",2023-10-08
"Blue Mountains Dams","87%","2023-10-08 07:14:16",2023-10-08
"Cataract Dam","66%","2023-10-08 07:14:16",2023-10-08
"Cordeaux Dam","68%","2023-10-08 07:14:16",2023-10-08
"Fitzroy Falls Reservoir","69%","2023-10-08 07:14:16",2023-10-08
"Nepean Dam","73%","2023-10-08 07:14:16",2023-10-08
"Prospect Reservoir","79%","2023-10-08 07:14:16",2023-10-08
"Tallowa Dam","13%","2023-10-08 07:14:16",2023-10-08
"Warragamba Dam","94%","2023-10-08 07:14:16",2023-10-08
"Wingecarribee Reservoir","64%","2023-10-08 07:14:16",2023-10-08
"Woronora Dam","92%","2023-10-08 07:14:16",2023-10-08
"How Much Rain have We had?","0.0MM","2023-10-08 07:14:16",2023-10-08
"How Much Water is in Our Dams?","90%","2023-10-08 07:14:16",2023-10-08
"How Much Water have we Used","1,508ML","2023-10-08 07:14:16",2023-10-08
