"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-09-20 07:15:29",2023-09-20
"Blue Mountains Dams","86%","2023-09-20 07:15:29",2023-09-20
"Cataract Dam","66%","2023-09-20 07:15:29",2023-09-20
"Cordeaux Dam","71%","2023-09-20 07:15:29",2023-09-20
"Fitzroy Falls Reservoir","70%","2023-09-20 07:15:29",2023-09-20
"Nepean Dam","73%","2023-09-20 07:15:29",2023-09-20
"Prospect Reservoir","91%","2023-09-20 07:15:29",2023-09-20
"Tallowa Dam","18%","2023-09-20 07:15:29",2023-09-20
"Warragamba Dam","94%","2023-09-20 07:15:29",2023-09-20
"Wingecarribee Reservoir","65%","2023-09-20 07:15:29",2023-09-20
"Woronora Dam","92%","2023-09-20 07:15:29",2023-09-20
"How Much Rain have We had?","0.0MM","2023-09-20 07:15:29",2023-09-20
"How Much Water is in Our Dams?","91%","2023-09-20 07:15:29",2023-09-20
"How Much Water have we Used","1,571ML","2023-09-20 07:15:29",2023-09-20
