"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-10-04 07:15:56",2023-10-04
"Blue Mountains Dams","86%","2023-10-04 07:15:56",2023-10-04
"Cataract Dam","66%","2023-10-04 07:15:56",2023-10-04
"Cordeaux Dam","69%","2023-10-04 07:15:56",2023-10-04
"Fitzroy Falls Reservoir","69%","2023-10-04 07:15:56",2023-10-04
"Nepean Dam","73%","2023-10-04 07:15:56",2023-10-04
"Prospect Reservoir","84%","2023-10-04 07:15:56",2023-10-04
"Tallowa Dam","11%","2023-10-04 07:15:56",2023-10-04
"Warragamba Dam","94%","2023-10-04 07:15:56",2023-10-04
"Wingecarribee Reservoir","64%","2023-10-04 07:15:56",2023-10-04
"Woronora Dam","92%","2023-10-04 07:15:56",2023-10-04
"How Much Rain have We had?","0.0MM","2023-10-04 07:15:56",2023-10-04
"How Much Water is in Our Dams?","90%","2023-10-04 07:15:56",2023-10-04
"How Much Water have we Used","1,431ML","2023-10-04 07:15:56",2023-10-04
