"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-10-26 07:15:51",2023-10-26
"Blue Mountains Dams","84%","2023-10-26 07:15:51",2023-10-26
"Cataract Dam","65%","2023-10-26 07:15:51",2023-10-26
"Cordeaux Dam","66%","2023-10-26 07:15:51",2023-10-26
"Fitzroy Falls Reservoir","64%","2023-10-26 07:15:51",2023-10-26
"Nepean Dam","70%","2023-10-26 07:15:51",2023-10-26
"Prospect Reservoir","81%","2023-10-26 07:15:51",2023-10-26
"Tallowa Dam","5%","2023-10-26 07:15:51",2023-10-26
"Warragamba Dam","93%","2023-10-26 07:15:51",2023-10-26
"Wingecarribee Reservoir","62%","2023-10-26 07:15:51",2023-10-26
"Woronora Dam","91%","2023-10-26 07:15:51",2023-10-26
"How Much Rain have We had?","0.0MM","2023-10-26 07:15:51",2023-10-26
"How Much Water is in Our Dams?","89%","2023-10-26 07:15:51",2023-10-26
"How Much Water have we Used","1,645ML","2023-10-26 07:15:51",2023-10-26
