"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-30 07:13:58",2023-07-30
"Blue Mountains Dams","82%","2023-07-30 07:13:58",2023-07-30
"Cataract Dam","67%","2023-07-30 07:13:58",2023-07-30
"Cordeaux Dam","82%","2023-07-30 07:13:58",2023-07-30
"Fitzroy Falls Reservoir","66%","2023-07-30 07:13:58",2023-07-30
"Nepean Dam","74%","2023-07-30 07:13:58",2023-07-30
"Prospect Reservoir","92%","2023-07-30 07:13:58",2023-07-30
"Tallowa Dam","52%","2023-07-30 07:13:58",2023-07-30
"Warragamba Dam","96%","2023-07-30 07:13:58",2023-07-30
"Wingecarribee Reservoir","69%","2023-07-30 07:13:58",2023-07-30
"Woronora Dam","96%","2023-07-30 07:13:58",2023-07-30
"How Much Rain have We had?","0.0MM","2023-07-30 07:13:58",2023-07-30
"How Much Water is in Our Dams?","92%","2023-07-30 07:13:58",2023-07-30
"How Much Water have we Used","1,327ML","2023-07-30 07:13:58",2023-07-30
