"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-15 07:14:50",2023-10-15
"Blue Mountains Dams","86%","2023-10-15 07:14:50",2023-10-15
"Cataract Dam","66%","2023-10-15 07:14:50",2023-10-15
"Cordeaux Dam","67%","2023-10-15 07:14:50",2023-10-15
"Fitzroy Falls Reservoir","67%","2023-10-15 07:14:50",2023-10-15
"Nepean Dam","72%","2023-10-15 07:14:50",2023-10-15
"Prospect Reservoir","76%","2023-10-15 07:14:50",2023-10-15
"Tallowa Dam","14%","2023-10-15 07:14:50",2023-10-15
"Warragamba Dam","94%","2023-10-15 07:14:50",2023-10-15
"Wingecarribee Reservoir","63%","2023-10-15 07:14:50",2023-10-15
"Woronora Dam","91%","2023-10-15 07:14:50",2023-10-15
"How Much Rain have We had?","0.0MM","2023-10-15 07:14:50",2023-10-15
"How Much Water is in Our Dams?","89%","2023-10-15 07:14:50",2023-10-15
"How Much Water have we Used","1,539ML","2023-10-15 07:14:50",2023-10-15
