"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-10-06 07:15:25",2023-10-06
"Blue Mountains Dams","87%","2023-10-06 07:15:25",2023-10-06
"Cataract Dam","66%","2023-10-06 07:15:25",2023-10-06
"Cordeaux Dam","68%","2023-10-06 07:15:25",2023-10-06
"Fitzroy Falls Reservoir","69%","2023-10-06 07:15:25",2023-10-06
"Nepean Dam","73%","2023-10-06 07:15:25",2023-10-06
"Prospect Reservoir","82%","2023-10-06 07:15:25",2023-10-06
"Tallowa Dam","12%","2023-10-06 07:15:25",2023-10-06
"Warragamba Dam","94%","2023-10-06 07:15:25",2023-10-06
"Wingecarribee Reservoir","64%","2023-10-06 07:15:25",2023-10-06
"Woronora Dam","92%","2023-10-06 07:15:25",2023-10-06
"How Much Rain have We had?","0.0MM","2023-10-06 07:15:25",2023-10-06
"How Much Water is in Our Dams?","90%","2023-10-06 07:15:25",2023-10-06
"How Much Water have we Used","1,466ML","2023-10-06 07:15:25",2023-10-06
