"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-09-25 07:16:27",2023-09-25
"Blue Mountains Dams","87%","2023-09-25 07:16:27",2023-09-25
"Cataract Dam","66%","2023-09-25 07:16:27",2023-09-25
"Cordeaux Dam","71%","2023-09-25 07:16:27",2023-09-25
"Fitzroy Falls Reservoir","70%","2023-09-25 07:16:27",2023-09-25
"Nepean Dam","73%","2023-09-25 07:16:27",2023-09-25
"Prospect Reservoir","95%","2023-09-25 07:16:27",2023-09-25
"Tallowa Dam","20%","2023-09-25 07:16:27",2023-09-25
"Warragamba Dam","94%","2023-09-25 07:16:27",2023-09-25
"Wingecarribee Reservoir","65%","2023-09-25 07:16:27",2023-09-25
"Woronora Dam","92%","2023-09-25 07:16:27",2023-09-25
"How Much Rain have We had?","0.0MM","2023-09-25 07:16:27",2023-09-25
"How Much Water is in Our Dams?","90%","2023-09-25 07:16:27",2023-09-25
"How Much Water have we Used","1,563ML","2023-09-25 07:16:27",2023-09-25
