"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-22 02:22:42",2023-12-22
"Blue Mountains Dams","90%","2023-12-22 02:22:42",2023-12-22
"Cataract Dam","68%","2023-12-22 02:22:42",2023-12-22
"Cordeaux Dam","63%","2023-12-22 02:22:42",2023-12-22
"Fitzroy Falls Reservoir","57%","2023-12-22 02:22:42",2023-12-22
"Nepean Dam","74%","2023-12-22 02:22:42",2023-12-22
"Prospect Reservoir","94%","2023-12-22 02:22:42",2023-12-22
"Tallowa Dam","100%","2023-12-22 02:22:42",2023-12-22
"Warragamba Dam","92%","2023-12-22 02:22:42",2023-12-22
"Wingecarribee Reservoir","63%","2023-12-22 02:22:42",2023-12-22
"Woronora Dam","89%","2023-12-22 02:22:42",2023-12-22
"How Much Rain have We had?","0.2MM","2023-12-22 02:22:42",2023-12-22
"How Much Water is in Our Dams?","88%","2023-12-22 02:22:42",2023-12-22
"How Much Water have we Used","1,576ML","2023-12-22 02:22:42",2023-12-22
