"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","81%","2023-09-02 07:14:03",2023-09-02
"Blue Mountains Dams","87%","2023-09-02 07:14:03",2023-09-02
"Cataract Dam","67%","2023-09-02 07:14:03",2023-09-02
"Cordeaux Dam","76%","2023-09-02 07:14:03",2023-09-02
"Fitzroy Falls Reservoir","73%","2023-09-02 07:14:03",2023-09-02
"Nepean Dam","73%","2023-09-02 07:14:03",2023-09-02
"Prospect Reservoir","93%","2023-09-02 07:14:03",2023-09-02
"Tallowa Dam","24%","2023-09-02 07:14:03",2023-09-02
"Warragamba Dam","95%","2023-09-02 07:14:03",2023-09-02
"Wingecarribee Reservoir","67%","2023-09-02 07:14:03",2023-09-02
"Woronora Dam","94%","2023-09-02 07:14:03",2023-09-02
"How Much Rain have We had?","0.0MM","2023-09-02 07:14:03",2023-09-02
"How Much Water is in Our Dams?","91%","2023-09-02 07:14:03",2023-09-02
"How Much Water have we Used","1,312ML","2023-09-02 07:14:03",2023-09-02
