"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-11 07:16:25",2023-09-11
"Blue Mountains Dams","87%","2023-09-11 07:16:25",2023-09-11
"Cataract Dam","66%","2023-09-11 07:16:25",2023-09-11
"Cordeaux Dam","73%","2023-09-11 07:16:25",2023-09-11
"Fitzroy Falls Reservoir","71%","2023-09-11 07:16:25",2023-09-11
"Nepean Dam","73%","2023-09-11 07:16:25",2023-09-11
"Prospect Reservoir","92%","2023-09-11 07:16:25",2023-09-11
"Tallowa Dam","6%","2023-09-11 07:16:25",2023-09-11
"Warragamba Dam","94%","2023-09-11 07:16:25",2023-09-11
"Wingecarribee Reservoir","66%","2023-09-11 07:16:25",2023-09-11
"Woronora Dam","93%","2023-09-11 07:16:25",2023-09-11
"How Much Rain have We had?","0.0MM","2023-09-11 07:16:25",2023-09-11
"How Much Water is in Our Dams?","91%","2023-09-11 07:16:25",2023-09-11
"How Much Water have we Used","1,336ML","2023-09-11 07:16:25",2023-09-11
