"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-11-23 07:15:54",2023-11-23
"Blue Mountains Dams","84%","2023-11-23 07:15:54",2023-11-23
"Cataract Dam","68%","2023-11-23 07:15:54",2023-11-23
"Cordeaux Dam","64%","2023-11-23 07:15:54",2023-11-23
"Fitzroy Falls Reservoir","62%","2023-11-23 07:15:54",2023-11-23
"Nepean Dam","69%","2023-11-23 07:15:54",2023-11-23
"Prospect Reservoir","91%","2023-11-23 07:15:54",2023-11-23
"Tallowa Dam","0%","2023-11-23 07:15:54",2023-11-23
"Warragamba Dam","91%","2023-11-23 07:15:54",2023-11-23
"Wingecarribee Reservoir","59%","2023-11-23 07:15:54",2023-11-23
"Woronora Dam","90%","2023-11-23 07:15:54",2023-11-23
"How Much Rain have We had?","0.2MM","2023-11-23 07:15:54",2023-11-23
"How Much Water is in Our Dams?","87%","2023-11-23 07:15:54",2023-11-23
"How Much Water have we Used","1,498ML","2023-11-23 07:15:54",2023-11-23
