"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-12 07:13:51",2023-08-12
"Blue Mountains Dams","83%","2023-08-12 07:13:51",2023-08-12
"Cataract Dam","67%","2023-08-12 07:13:51",2023-08-12
"Cordeaux Dam","80%","2023-08-12 07:13:51",2023-08-12
"Fitzroy Falls Reservoir","70%","2023-08-12 07:13:51",2023-08-12
"Nepean Dam","73%","2023-08-12 07:13:51",2023-08-12
"Prospect Reservoir","92%","2023-08-12 07:13:51",2023-08-12
"Tallowa Dam","36%","2023-08-12 07:13:51",2023-08-12
"Warragamba Dam","95%","2023-08-12 07:13:51",2023-08-12
"Wingecarribee Reservoir","68%","2023-08-12 07:13:51",2023-08-12
"Woronora Dam","95%","2023-08-12 07:13:51",2023-08-12
"How Much Rain have We had?","0.0MM","2023-08-12 07:13:51",2023-08-12
"How Much Water is in Our Dams?","92%","2023-08-12 07:13:51",2023-08-12
"How Much Water have we Used","1,302ML","2023-08-12 07:13:51",2023-08-12
