"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-09-26 07:16:44",2023-09-26
"Blue Mountains Dams","86%","2023-09-26 07:16:44",2023-09-26
"Cataract Dam","66%","2023-09-26 07:16:44",2023-09-26
"Cordeaux Dam","70%","2023-09-26 07:16:44",2023-09-26
"Fitzroy Falls Reservoir","69%","2023-09-26 07:16:44",2023-09-26
"Nepean Dam","73%","2023-09-26 07:16:44",2023-09-26
"Prospect Reservoir","95%","2023-09-26 07:16:44",2023-09-26
"Tallowa Dam","14%","2023-09-26 07:16:44",2023-09-26
"Warragamba Dam","94%","2023-09-26 07:16:44",2023-09-26
"Wingecarribee Reservoir","65%","2023-09-26 07:16:44",2023-09-26
"Woronora Dam","92%","2023-09-26 07:16:44",2023-09-26
"How Much Rain have We had?","0.0MM","2023-09-26 07:16:44",2023-09-26
"How Much Water is in Our Dams?","90%","2023-09-26 07:16:44",2023-09-26
"How Much Water have we Used","1,518ML","2023-09-26 07:16:44",2023-09-26
