"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-17 07:15:02",2023-08-17
"Blue Mountains Dams","84%","2023-08-17 07:15:02",2023-08-17
"Cataract Dam","67%","2023-08-17 07:15:02",2023-08-17
"Cordeaux Dam","79%","2023-08-17 07:15:02",2023-08-17
"Fitzroy Falls Reservoir","74%","2023-08-17 07:15:02",2023-08-17
"Nepean Dam","73%","2023-08-17 07:15:02",2023-08-17
"Prospect Reservoir","93%","2023-08-17 07:15:02",2023-08-17
"Tallowa Dam","42%","2023-08-17 07:15:02",2023-08-17
"Warragamba Dam","95%","2023-08-17 07:15:02",2023-08-17
"Wingecarribee Reservoir","68%","2023-08-17 07:15:02",2023-08-17
"Woronora Dam","95%","2023-08-17 07:15:02",2023-08-17
"How Much Rain have We had?","0.4MM","2023-08-17 07:15:02",2023-08-17
"How Much Water is in Our Dams?","92%","2023-08-17 07:15:02",2023-08-17
"How Much Water have we Used","1,318ML","2023-08-17 07:15:02",2023-08-17
