"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-06 07:11:39",2023-12-06
"Blue Mountains Dams","88%","2023-12-06 07:11:39",2023-12-06
"Cataract Dam","69%","2023-12-06 07:11:39",2023-12-06
"Cordeaux Dam","65%","2023-12-06 07:11:39",2023-12-06
"Fitzroy Falls Reservoir","68%","2023-12-06 07:11:39",2023-12-06
"Nepean Dam","72%","2023-12-06 07:11:39",2023-12-06
"Prospect Reservoir","86%","2023-12-06 07:11:39",2023-12-06
"Tallowa Dam","100%","2023-12-06 07:11:39",2023-12-06
"Warragamba Dam","92%","2023-12-06 07:11:39",2023-12-06
"Wingecarribee Reservoir","62%","2023-12-06 07:11:39",2023-12-06
"Woronora Dam","90%","2023-12-06 07:11:39",2023-12-06
"How Much Rain have We had?","0.0MM","2023-12-06 07:11:39",2023-12-06
"How Much Water is in Our Dams?","88%","2023-12-06 07:11:39",2023-12-06
"How Much Water have we Used","1,305ML","2023-12-06 07:11:39",2023-12-06
