"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-16 08:09:54",2023-12-16
"Blue Mountains Dams","86%","2023-12-16 08:09:54",2023-12-16
"Cataract Dam","68%","2023-12-16 08:09:54",2023-12-16
"Cordeaux Dam","64%","2023-12-16 08:09:54",2023-12-16
"Fitzroy Falls Reservoir","59%","2023-12-16 08:09:54",2023-12-16
"Nepean Dam","72%","2023-12-16 08:09:54",2023-12-16
"Prospect Reservoir","89%","2023-12-16 08:09:54",2023-12-16
"Tallowa Dam","100%","2023-12-16 08:09:54",2023-12-16
"Warragamba Dam","91%","2023-12-16 08:09:54",2023-12-16
"Wingecarribee Reservoir","61%","2023-12-16 08:09:54",2023-12-16
"Woronora Dam","89%","2023-12-16 08:09:54",2023-12-16
"How Much Rain have We had?","0.0MM","2023-12-16 08:09:54",2023-12-16
"How Much Water is in Our Dams?","88%","2023-12-16 08:09:54",2023-12-16
"How Much Water have we Used","1,632ML","2023-12-16 08:09:54",2023-12-16
