"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-13 07:11:34",2023-12-13
"Blue Mountains Dams","87%","2023-12-13 07:11:34",2023-12-13
"Cataract Dam","68%","2023-12-13 07:11:34",2023-12-13
"Cordeaux Dam","64%","2023-12-13 07:11:34",2023-12-13
"Fitzroy Falls Reservoir","66%","2023-12-13 07:11:34",2023-12-13
"Nepean Dam","72%","2023-12-13 07:11:34",2023-12-13
"Prospect Reservoir","86%","2023-12-13 07:11:34",2023-12-13
"Tallowa Dam","100%","2023-12-13 07:11:34",2023-12-13
"Warragamba Dam","91%","2023-12-13 07:11:34",2023-12-13
"Wingecarribee Reservoir","61%","2023-12-13 07:11:34",2023-12-13
"Woronora Dam","89%","2023-12-13 07:11:34",2023-12-13
"How Much Rain have We had?","0.1MM","2023-12-13 07:11:34",2023-12-13
"How Much Water is in Our Dams?","88%","2023-12-13 07:11:34",2023-12-13
"How Much Water have we Used","1,583ML","2023-12-13 07:11:34",2023-12-13
