"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-11-19 07:15:27",2023-11-19
"Blue Mountains Dams","84%","2023-11-19 07:15:27",2023-11-19
"Cataract Dam","68%","2023-11-19 07:15:27",2023-11-19
"Cordeaux Dam","64%","2023-11-19 07:15:27",2023-11-19
"Fitzroy Falls Reservoir","63%","2023-11-19 07:15:27",2023-11-19
"Nepean Dam","69%","2023-11-19 07:15:27",2023-11-19
"Prospect Reservoir","95%","2023-11-19 07:15:27",2023-11-19
"Tallowa Dam","0%","2023-11-19 07:15:27",2023-11-19
"Warragamba Dam","92%","2023-11-19 07:15:27",2023-11-19
"Wingecarribee Reservoir","59%","2023-11-19 07:15:27",2023-11-19
"Woronora Dam","90%","2023-11-19 07:15:27",2023-11-19
"How Much Rain have We had?","0.0MM","2023-11-19 07:15:27",2023-11-19
"How Much Water is in Our Dams?","87%","2023-11-19 07:15:27",2023-11-19
"How Much Water have we Used","1,462ML","2023-11-19 07:15:27",2023-11-19
