"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-10-27 07:16:01",2023-10-27
"Blue Mountains Dams","84%","2023-10-27 07:16:01",2023-10-27
"Cataract Dam","65%","2023-10-27 07:16:01",2023-10-27
"Cordeaux Dam","66%","2023-10-27 07:16:01",2023-10-27
"Fitzroy Falls Reservoir","64%","2023-10-27 07:16:01",2023-10-27
"Nepean Dam","70%","2023-10-27 07:16:01",2023-10-27
"Prospect Reservoir","81%","2023-10-27 07:16:01",2023-10-27
"Tallowa Dam","5%","2023-10-27 07:16:01",2023-10-27
"Warragamba Dam","93%","2023-10-27 07:16:01",2023-10-27
"Wingecarribee Reservoir","62%","2023-10-27 07:16:01",2023-10-27
"Woronora Dam","91%","2023-10-27 07:16:01",2023-10-27
"How Much Rain have We had?","1.6MM","2023-10-27 07:16:01",2023-10-27
"How Much Water is in Our Dams?","89%","2023-10-27 07:16:01",2023-10-27
"How Much Water have we Used","1,675ML","2023-10-27 07:16:01",2023-10-27
