"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-25 07:15:36",2023-07-25
"Blue Mountains Dams","81%","2023-07-25 07:15:36",2023-07-25
"Cataract Dam","67%","2023-07-25 07:15:36",2023-07-25
"Cordeaux Dam","82%","2023-07-25 07:15:36",2023-07-25
"Fitzroy Falls Reservoir","64%","2023-07-25 07:15:36",2023-07-25
"Nepean Dam","75%","2023-07-25 07:15:36",2023-07-25
"Prospect Reservoir","92%","2023-07-25 07:15:36",2023-07-25
"Tallowa Dam","56%","2023-07-25 07:15:36",2023-07-25
"Warragamba Dam","96%","2023-07-25 07:15:36",2023-07-25
"Wingecarribee Reservoir","69%","2023-07-25 07:15:36",2023-07-25
"Woronora Dam","96%","2023-07-25 07:15:36",2023-07-25
"How Much Rain have We had?","0.0MM","2023-07-25 07:15:36",2023-07-25
"How Much Water is in Our Dams?","92%","2023-07-25 07:15:36",2023-07-25
"How Much Water have we Used","1,329ML","2023-07-25 07:15:36",2023-07-25
