"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-13 07:15:29",2023-09-13
"Blue Mountains Dams","87%","2023-09-13 07:15:29",2023-09-13
"Cataract Dam","66%","2023-09-13 07:15:29",2023-09-13
"Cordeaux Dam","73%","2023-09-13 07:15:29",2023-09-13
"Fitzroy Falls Reservoir","71%","2023-09-13 07:15:29",2023-09-13
"Nepean Dam","73%","2023-09-13 07:15:29",2023-09-13
"Prospect Reservoir","92%","2023-09-13 07:15:29",2023-09-13
"Tallowa Dam","7%","2023-09-13 07:15:29",2023-09-13
"Warragamba Dam","94%","2023-09-13 07:15:29",2023-09-13
"Wingecarribee Reservoir","66%","2023-09-13 07:15:29",2023-09-13
"Woronora Dam","93%","2023-09-13 07:15:29",2023-09-13
"How Much Rain have We had?","0.0MM","2023-09-13 07:15:29",2023-09-13
"How Much Water is in Our Dams?","91%","2023-09-13 07:15:29",2023-09-13
"How Much Water have we Used","1,385ML","2023-09-13 07:15:29",2023-09-13
