"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-03 07:15:19",2023-11-03
"Blue Mountains Dams","83%","2023-11-03 07:15:19",2023-11-03
"Cataract Dam","65%","2023-11-03 07:15:19",2023-11-03
"Cordeaux Dam","65%","2023-11-03 07:15:19",2023-11-03
"Fitzroy Falls Reservoir","63%","2023-11-03 07:15:19",2023-11-03
"Nepean Dam","69%","2023-11-03 07:15:19",2023-11-03
"Prospect Reservoir","87%","2023-11-03 07:15:19",2023-11-03
"Tallowa Dam","0%","2023-11-03 07:15:19",2023-11-03
"Warragamba Dam","93%","2023-11-03 07:15:19",2023-11-03
"Wingecarribee Reservoir","61%","2023-11-03 07:15:19",2023-11-03
"Woronora Dam","90%","2023-11-03 07:15:19",2023-11-03
"How Much Rain have We had?","0.1MM","2023-11-03 07:15:19",2023-11-03
"How Much Water is in Our Dams?","88%","2023-11-03 07:15:19",2023-11-03
"How Much Water have we Used","1,578ML","2023-11-03 07:15:19",2023-11-03
