"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-04 07:14:39",2023-08-04
"Blue Mountains Dams","82%","2023-08-04 07:14:39",2023-08-04
"Cataract Dam","67%","2023-08-04 07:14:39",2023-08-04
"Cordeaux Dam","81%","2023-08-04 07:14:39",2023-08-04
"Fitzroy Falls Reservoir","64%","2023-08-04 07:14:39",2023-08-04
"Nepean Dam","74%","2023-08-04 07:14:39",2023-08-04
"Prospect Reservoir","92%","2023-08-04 07:14:39",2023-08-04
"Tallowa Dam","46%","2023-08-04 07:14:39",2023-08-04
"Warragamba Dam","96%","2023-08-04 07:14:39",2023-08-04
"Wingecarribee Reservoir","68%","2023-08-04 07:14:39",2023-08-04
"Woronora Dam","95%","2023-08-04 07:14:39",2023-08-04
"How Much Rain have We had?","0.0MM","2023-08-04 07:14:39",2023-08-04
"How Much Water is in Our Dams?","92%","2023-08-04 07:14:39",2023-08-04
"How Much Water have we Used","1,365ML","2023-08-04 07:14:39",2023-08-04
