"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-02 09:10:02",2023-12-02
"Blue Mountains Dams","88%","2023-12-02 09:10:02",2023-12-02
"Cataract Dam","69%","2023-12-02 09:10:02",2023-12-02
"Cordeaux Dam","64%","2023-12-02 09:10:02",2023-12-02
"Fitzroy Falls Reservoir","68%","2023-12-02 09:10:02",2023-12-02
"Nepean Dam","71%","2023-12-02 09:10:02",2023-12-02
"Prospect Reservoir","88%","2023-12-02 09:10:02",2023-12-02
"Tallowa Dam","100%","2023-12-02 09:10:02",2023-12-02
"Warragamba Dam","92%","2023-12-02 09:10:02",2023-12-02
"Wingecarribee Reservoir","62%","2023-12-02 09:10:02",2023-12-02
"Woronora Dam","90%","2023-12-02 09:10:02",2023-12-02
"How Much Rain have We had?","3.1MM","2023-12-02 09:10:02",2023-12-02
"How Much Water is in Our Dams?","88%","2023-12-02 09:10:02",2023-12-02
"How Much Water have we Used","1,316ML","2023-12-02 09:10:02",2023-12-02
