"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-10 07:13:42",2023-09-10
"Blue Mountains Dams","87%","2023-09-10 07:13:42",2023-09-10
"Cataract Dam","66%","2023-09-10 07:13:42",2023-09-10
"Cordeaux Dam","73%","2023-09-10 07:13:42",2023-09-10
"Fitzroy Falls Reservoir","72%","2023-09-10 07:13:42",2023-09-10
"Nepean Dam","73%","2023-09-10 07:13:42",2023-09-10
"Prospect Reservoir","92%","2023-09-10 07:13:42",2023-09-10
"Tallowa Dam","6%","2023-09-10 07:13:42",2023-09-10
"Warragamba Dam","94%","2023-09-10 07:13:42",2023-09-10
"Wingecarribee Reservoir","66%","2023-09-10 07:13:42",2023-09-10
"Woronora Dam","93%","2023-09-10 07:13:42",2023-09-10
"How Much Rain have We had?","0.0MM","2023-09-10 07:13:42",2023-09-10
"How Much Water is in Our Dams?","91%","2023-09-10 07:13:42",2023-09-10
"How Much Water have we Used","1,339ML","2023-09-10 07:13:42",2023-09-10
