"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-12 07:15:35",2023-09-12
"Blue Mountains Dams","87%","2023-09-12 07:15:35",2023-09-12
"Cataract Dam","66%","2023-09-12 07:15:35",2023-09-12
"Cordeaux Dam","73%","2023-09-12 07:15:35",2023-09-12
"Fitzroy Falls Reservoir","71%","2023-09-12 07:15:35",2023-09-12
"Nepean Dam","73%","2023-09-12 07:15:35",2023-09-12
"Prospect Reservoir","92%","2023-09-12 07:15:35",2023-09-12
"Tallowa Dam","9%","2023-09-12 07:15:35",2023-09-12
"Warragamba Dam","94%","2023-09-12 07:15:35",2023-09-12
"Wingecarribee Reservoir","66%","2023-09-12 07:15:35",2023-09-12
"Woronora Dam","93%","2023-09-12 07:15:35",2023-09-12
"How Much Rain have We had?","0.0MM","2023-09-12 07:15:35",2023-09-12
"How Much Water is in Our Dams?","91%","2023-09-12 07:15:35",2023-09-12
"How Much Water have we Used","1,351ML","2023-09-12 07:15:35",2023-09-12
