"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-23 07:14:23",2023-07-23
"Blue Mountains Dams","82%","2023-07-23 07:14:23",2023-07-23
"Cataract Dam","67%","2023-07-23 07:14:23",2023-07-23
"Cordeaux Dam","82%","2023-07-23 07:14:23",2023-07-23
"Fitzroy Falls Reservoir","64%","2023-07-23 07:14:23",2023-07-23
"Nepean Dam","75%","2023-07-23 07:14:23",2023-07-23
"Prospect Reservoir","92%","2023-07-23 07:14:23",2023-07-23
"Tallowa Dam","59%","2023-07-23 07:14:23",2023-07-23
"Warragamba Dam","96%","2023-07-23 07:14:23",2023-07-23
"Wingecarribee Reservoir","69%","2023-07-23 07:14:23",2023-07-23
"Woronora Dam","96%","2023-07-23 07:14:23",2023-07-23
"How Much Rain have We had?","0.0MM","2023-07-23 07:14:23",2023-07-23
"How Much Water is in Our Damns?","92%","2023-07-23 07:14:23",2023-07-23
"How Much Water have we Used","1,350ML","2023-07-23 07:14:23",2023-07-23
