"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-01 07:20:00",2023-11-01
"Blue Mountains Dams","83%","2023-11-01 07:20:00",2023-11-01
"Cataract Dam","65%","2023-11-01 07:20:00",2023-11-01
"Cordeaux Dam","65%","2023-11-01 07:20:00",2023-11-01
"Fitzroy Falls Reservoir","64%","2023-11-01 07:20:00",2023-11-01
"Nepean Dam","69%","2023-11-01 07:20:00",2023-11-01
"Prospect Reservoir","85%","2023-11-01 07:20:00",2023-11-01
"Tallowa Dam","0%","2023-11-01 07:20:00",2023-11-01
"Warragamba Dam","93%","2023-11-01 07:20:00",2023-11-01
"Wingecarribee Reservoir","61%","2023-11-01 07:20:00",2023-11-01
"Woronora Dam","90%","2023-11-01 07:20:00",2023-11-01
"How Much Rain have We had?","0.0MM","2023-11-01 07:20:00",2023-11-01
"How Much Water is in Our Dams?","88%","2023-11-01 07:20:00",2023-11-01
"How Much Water have we Used","1,590ML","2023-11-01 07:20:00",2023-11-01
