"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-20 07:15:55",2023-10-20
"Blue Mountains Dams","85%","2023-10-20 07:15:55",2023-10-20
"Cataract Dam","66%","2023-10-20 07:15:55",2023-10-20
"Cordeaux Dam","66%","2023-10-20 07:15:55",2023-10-20
"Fitzroy Falls Reservoir","66%","2023-10-20 07:15:55",2023-10-20
"Nepean Dam","71%","2023-10-20 07:15:55",2023-10-20
"Prospect Reservoir","80%","2023-10-20 07:15:55",2023-10-20
"Tallowa Dam","12%","2023-10-20 07:15:55",2023-10-20
"Warragamba Dam","94%","2023-10-20 07:15:55",2023-10-20
"Wingecarribee Reservoir","63%","2023-10-20 07:15:55",2023-10-20
"Woronora Dam","91%","2023-10-20 07:15:55",2023-10-20
"How Much Rain have We had?","0.0MM","2023-10-20 07:15:55",2023-10-20
"How Much Water is in Our Dams?","89%","2023-10-20 07:15:55",2023-10-20
"How Much Water have we Used","9,554ML","2023-10-20 07:15:55",2023-10-20
