"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-02 07:15:07",2023-08-02
"Blue Mountains Dams","82%","2023-08-02 07:15:07",2023-08-02
"Cataract Dam","67%","2023-08-02 07:15:07",2023-08-02
"Cordeaux Dam","82%","2023-08-02 07:15:07",2023-08-02
"Fitzroy Falls Reservoir","63%","2023-08-02 07:15:07",2023-08-02
"Nepean Dam","74%","2023-08-02 07:15:07",2023-08-02
"Prospect Reservoir","92%","2023-08-02 07:15:07",2023-08-02
"Tallowa Dam","48%","2023-08-02 07:15:07",2023-08-02
"Warragamba Dam","96%","2023-08-02 07:15:07",2023-08-02
"Wingecarribee Reservoir","68%","2023-08-02 07:15:07",2023-08-02
"Woronora Dam","95%","2023-08-02 07:15:07",2023-08-02
"How Much Rain have We had?","0.8MM","2023-08-02 07:15:07",2023-08-02
"How Much Water is in Our Dams?","92%","2023-08-02 07:15:07",2023-08-02
"How Much Water have we Used","1,350ML","2023-08-02 07:15:07",2023-08-02
