"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-10 07:10:47",2023-12-10
"Blue Mountains Dams","87%","2023-12-10 07:10:47",2023-12-10
"Cataract Dam","68%","2023-12-10 07:10:47",2023-12-10
"Cordeaux Dam","64%","2023-12-10 07:10:47",2023-12-10
"Fitzroy Falls Reservoir","67%","2023-12-10 07:10:47",2023-12-10
"Nepean Dam","72%","2023-12-10 07:10:47",2023-12-10
"Prospect Reservoir","84%","2023-12-10 07:10:47",2023-12-10
"Tallowa Dam","100%","2023-12-10 07:10:47",2023-12-10
"Warragamba Dam","92%","2023-12-10 07:10:47",2023-12-10
"Wingecarribee Reservoir","62%","2023-12-10 07:10:47",2023-12-10
"Woronora Dam","90%","2023-12-10 07:10:47",2023-12-10
"How Much Rain have We had?","0.5MM","2023-12-10 07:10:47",2023-12-10
"How Much Water is in Our Dams?","88%","2023-12-10 07:10:47",2023-12-10
"How Much Water have we Used","1,462ML","2023-12-10 07:10:47",2023-12-10
