"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","79%","2023-09-19 07:15:48",2023-09-19
"Blue Mountains Dams","87%","2023-09-19 07:15:48",2023-09-19
"Cataract Dam","66%","2023-09-19 07:15:48",2023-09-19
"Cordeaux Dam","72%","2023-09-19 07:15:48",2023-09-19
"Fitzroy Falls Reservoir","71%","2023-09-19 07:15:48",2023-09-19
"Nepean Dam","73%","2023-09-19 07:15:48",2023-09-19
"Prospect Reservoir","92%","2023-09-19 07:15:48",2023-09-19
"Tallowa Dam","15%","2023-09-19 07:15:48",2023-09-19
"Warragamba Dam","94%","2023-09-19 07:15:48",2023-09-19
"Wingecarribee Reservoir","65%","2023-09-19 07:15:48",2023-09-19
"Woronora Dam","92%","2023-09-19 07:15:48",2023-09-19
"How Much Rain have We had?","0.0MM","2023-09-19 07:15:48",2023-09-19
"How Much Water is in Our Dams?","91%","2023-09-19 07:15:48",2023-09-19
"How Much Water have we Used","1,563ML","2023-09-19 07:15:48",2023-09-19
