"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-10 07:20:17",2023-08-10
"Blue Mountains Dams","83%","2023-08-10 07:20:17",2023-08-10
"Cataract Dam","67%","2023-08-10 07:20:17",2023-08-10
"Cordeaux Dam","80%","2023-08-10 07:20:17",2023-08-10
"Fitzroy Falls Reservoir","69%","2023-08-10 07:20:17",2023-08-10
"Nepean Dam","73%","2023-08-10 07:20:17",2023-08-10
"Prospect Reservoir","92%","2023-08-10 07:20:17",2023-08-10
"Tallowa Dam","36%","2023-08-10 07:20:17",2023-08-10
"Warragamba Dam","95%","2023-08-10 07:20:17",2023-08-10
"Wingecarribee Reservoir","68%","2023-08-10 07:20:17",2023-08-10
"Woronora Dam","95%","2023-08-10 07:20:17",2023-08-10
"How Much Rain have We had?","0.0MM","2023-08-10 07:20:17",2023-08-10
"How Much Water is in Our Dams?","92%","2023-08-10 07:20:17",2023-08-10
"How Much Water have we Used","1,295ML","2023-08-10 07:20:17",2023-08-10
