"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-13 07:15:37",2023-10-13
"Blue Mountains Dams","86%","2023-10-13 07:15:37",2023-10-13
"Cataract Dam","66%","2023-10-13 07:15:37",2023-10-13
"Cordeaux Dam","67%","2023-10-13 07:15:37",2023-10-13
"Fitzroy Falls Reservoir","67%","2023-10-13 07:15:37",2023-10-13
"Nepean Dam","73%","2023-10-13 07:15:37",2023-10-13
"Prospect Reservoir","74%","2023-10-13 07:15:37",2023-10-13
"Tallowa Dam","14%","2023-10-13 07:15:37",2023-10-13
"Warragamba Dam","94%","2023-10-13 07:15:37",2023-10-13
"Wingecarribee Reservoir","64%","2023-10-13 07:15:37",2023-10-13
"Woronora Dam","92%","2023-10-13 07:15:37",2023-10-13
"How Much Rain have We had?","2.5MM","2023-10-13 07:15:37",2023-10-13
"How Much Water is in Our Dams?","90%","2023-10-13 07:15:37",2023-10-13
"How Much Water have we Used","1,472ML","2023-10-13 07:15:37",2023-10-13
