"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-07 07:11:58",2023-12-07
"Blue Mountains Dams","88%","2023-12-07 07:11:58",2023-12-07
"Cataract Dam","69%","2023-12-07 07:11:58",2023-12-07
"Cordeaux Dam","64%","2023-12-07 07:11:58",2023-12-07
"Fitzroy Falls Reservoir","67%","2023-12-07 07:11:58",2023-12-07
"Nepean Dam","72%","2023-12-07 07:11:58",2023-12-07
"Prospect Reservoir","85%","2023-12-07 07:11:58",2023-12-07
"Tallowa Dam","100%","2023-12-07 07:11:58",2023-12-07
"Warragamba Dam","92%","2023-12-07 07:11:58",2023-12-07
"Wingecarribee Reservoir","62%","2023-12-07 07:11:58",2023-12-07
"Woronora Dam","90%","2023-12-07 07:11:58",2023-12-07
"How Much Rain have We had?","0.0MM","2023-12-07 07:11:58",2023-12-07
"How Much Water is in Our Dams?","88%","2023-12-07 07:11:58",2023-12-07
"How Much Water have we Used","1,326ML","2023-12-07 07:11:58",2023-12-07
