"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-13 07:14:16",2023-08-13
"Blue Mountains Dams","83%","2023-08-13 07:14:16",2023-08-13
"Cataract Dam","67%","2023-08-13 07:14:16",2023-08-13
"Cordeaux Dam","79%","2023-08-13 07:14:16",2023-08-13
"Fitzroy Falls Reservoir","73%","2023-08-13 07:14:16",2023-08-13
"Nepean Dam","73%","2023-08-13 07:14:16",2023-08-13
"Prospect Reservoir","92%","2023-08-13 07:14:16",2023-08-13
"Tallowa Dam","31%","2023-08-13 07:14:16",2023-08-13
"Warragamba Dam","95%","2023-08-13 07:14:16",2023-08-13
"Wingecarribee Reservoir","68%","2023-08-13 07:14:16",2023-08-13
"Woronora Dam","95%","2023-08-13 07:14:16",2023-08-13
"How Much Rain have We had?","0.0MM","2023-08-13 07:14:16",2023-08-13
"How Much Water is in Our Dams?","92%","2023-08-13 07:14:16",2023-08-13
"How Much Water have we Used","1,308ML","2023-08-13 07:14:16",2023-08-13
