"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-10-29 07:14:16",2023-10-29
"Blue Mountains Dams","84%","2023-10-29 07:14:16",2023-10-29
"Cataract Dam","65%","2023-10-29 07:14:16",2023-10-29
"Cordeaux Dam","66%","2023-10-29 07:14:16",2023-10-29
"Fitzroy Falls Reservoir","65%","2023-10-29 07:14:16",2023-10-29
"Nepean Dam","70%","2023-10-29 07:14:16",2023-10-29
"Prospect Reservoir","83%","2023-10-29 07:14:16",2023-10-29
"Tallowa Dam","3%","2023-10-29 07:14:16",2023-10-29
"Warragamba Dam","93%","2023-10-29 07:14:16",2023-10-29
"Wingecarribee Reservoir","62%","2023-10-29 07:14:16",2023-10-29
"Woronora Dam","90%","2023-10-29 07:14:16",2023-10-29
"How Much Rain have We had?","0.0MM","2023-10-29 07:14:16",2023-10-29
"How Much Water is in Our Dams?","89%","2023-10-29 07:14:16",2023-10-29
"How Much Water have we Used","1,623ML","2023-10-29 07:14:16",2023-10-29
