"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-10-28 07:14:26",2023-10-28
"Blue Mountains Dams","84%","2023-10-28 07:14:26",2023-10-28
"Cataract Dam","65%","2023-10-28 07:14:26",2023-10-28
"Cordeaux Dam","66%","2023-10-28 07:14:26",2023-10-28
"Fitzroy Falls Reservoir","65%","2023-10-28 07:14:26",2023-10-28
"Nepean Dam","70%","2023-10-28 07:14:26",2023-10-28
"Prospect Reservoir","82%","2023-10-28 07:14:26",2023-10-28
"Tallowa Dam","4%","2023-10-28 07:14:26",2023-10-28
"Warragamba Dam","93%","2023-10-28 07:14:26",2023-10-28
"Wingecarribee Reservoir","62%","2023-10-28 07:14:26",2023-10-28
"Woronora Dam","90%","2023-10-28 07:14:26",2023-10-28
"How Much Rain have We had?","1.5MM","2023-10-28 07:14:26",2023-10-28
"How Much Water is in Our Dams?","89%","2023-10-28 07:14:26",2023-10-28
"How Much Water have we Used","1,655ML","2023-10-28 07:14:26",2023-10-28
