"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-08 07:15:08",2023-11-08
"Blue Mountains Dams","84%","2023-11-08 07:15:08",2023-11-08
"Cataract Dam","68%","2023-11-08 07:15:08",2023-11-08
"Cordeaux Dam","65%","2023-11-08 07:15:08",2023-11-08
"Fitzroy Falls Reservoir","64%","2023-11-08 07:15:08",2023-11-08
"Nepean Dam","69%","2023-11-08 07:15:08",2023-11-08
"Prospect Reservoir","93%","2023-11-08 07:15:08",2023-11-08
"Tallowa Dam","0%","2023-11-08 07:15:08",2023-11-08
"Warragamba Dam","92%","2023-11-08 07:15:08",2023-11-08
"Wingecarribee Reservoir","60%","2023-11-08 07:15:08",2023-11-08
"Woronora Dam","91%","2023-11-08 07:15:08",2023-11-08
"How Much Rain have We had?","2.0MM","2023-11-08 07:15:08",2023-11-08
"How Much Water is in Our Dams?","88%","2023-11-08 07:15:08",2023-11-08
"How Much Water have we Used","1,463ML","2023-11-08 07:15:08",2023-11-08
