"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","80%","2023-09-23 07:13:48",2023-09-23
"Blue Mountains Dams","87%","2023-09-23 07:13:48",2023-09-23
"Cataract Dam","66%","2023-09-23 07:13:48",2023-09-23
"Cordeaux Dam","71%","2023-09-23 07:13:48",2023-09-23
"Fitzroy Falls Reservoir","70%","2023-09-23 07:13:48",2023-09-23
"Nepean Dam","73%","2023-09-23 07:13:48",2023-09-23
"Prospect Reservoir","93%","2023-09-23 07:13:48",2023-09-23
"Tallowa Dam","20%","2023-09-23 07:13:48",2023-09-23
"Warragamba Dam","94%","2023-09-23 07:13:48",2023-09-23
"Wingecarribee Reservoir","65%","2023-09-23 07:13:48",2023-09-23
"Woronora Dam","93%","2023-09-23 07:13:48",2023-09-23
"How Much Rain have We had?","0.0MM","2023-09-23 07:13:48",2023-09-23
"How Much Water is in Our Dams?","90%","2023-09-23 07:13:48",2023-09-23
"How Much Water have we Used","1,604ML","2023-09-23 07:13:48",2023-09-23
