"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-06 07:14:14",2023-08-06
"Blue Mountains Dams","82%","2023-08-06 07:14:14",2023-08-06
"Cataract Dam","67%","2023-08-06 07:14:14",2023-08-06
"Cordeaux Dam","81%","2023-08-06 07:14:14",2023-08-06
"Fitzroy Falls Reservoir","70%","2023-08-06 07:14:14",2023-08-06
"Nepean Dam","74%","2023-08-06 07:14:14",2023-08-06
"Prospect Reservoir","92%","2023-08-06 07:14:14",2023-08-06
"Tallowa Dam","38%","2023-08-06 07:14:14",2023-08-06
"Warragamba Dam","95%","2023-08-06 07:14:14",2023-08-06
"Wingecarribee Reservoir","68%","2023-08-06 07:14:14",2023-08-06
"Woronora Dam","96%","2023-08-06 07:14:14",2023-08-06
"How Much Rain have We had?","2.5MM","2023-08-06 07:14:14",2023-08-06
"How Much Water is in Our Dams?","92%","2023-08-06 07:14:14",2023-08-06
"How Much Water have we Used","1,367ML","2023-08-06 07:14:14",2023-08-06
