"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-18 07:14:41",2023-11-18
"Blue Mountains Dams","84%","2023-11-18 07:14:41",2023-11-18
"Cataract Dam","68%","2023-11-18 07:14:41",2023-11-18
"Cordeaux Dam","65%","2023-11-18 07:14:41",2023-11-18
"Fitzroy Falls Reservoir","63%","2023-11-18 07:14:41",2023-11-18
"Nepean Dam","69%","2023-11-18 07:14:41",2023-11-18
"Prospect Reservoir","96%","2023-11-18 07:14:41",2023-11-18
"Tallowa Dam","0%","2023-11-18 07:14:41",2023-11-18
"Warragamba Dam","92%","2023-11-18 07:14:41",2023-11-18
"Wingecarribee Reservoir","60%","2023-11-18 07:14:41",2023-11-18
"Woronora Dam","90%","2023-11-18 07:14:41",2023-11-18
"How Much Rain have We had?","0.0MM","2023-11-18 07:14:41",2023-11-18
"How Much Water is in Our Dams?","88%","2023-11-18 07:14:41",2023-11-18
"How Much Water have we Used","1,456ML","2023-11-18 07:14:41",2023-11-18
