"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-11-07 07:15:34",2023-11-07
"Blue Mountains Dams","84%","2023-11-07 07:15:34",2023-11-07
"Cataract Dam","68%","2023-11-07 07:15:34",2023-11-07
"Cordeaux Dam","65%","2023-11-07 07:15:34",2023-11-07
"Fitzroy Falls Reservoir","64%","2023-11-07 07:15:34",2023-11-07
"Nepean Dam","69%","2023-11-07 07:15:34",2023-11-07
"Prospect Reservoir","91%","2023-11-07 07:15:34",2023-11-07
"Tallowa Dam","1%","2023-11-07 07:15:34",2023-11-07
"Warragamba Dam","92%","2023-11-07 07:15:34",2023-11-07
"Wingecarribee Reservoir","60%","2023-11-07 07:15:34",2023-11-07
"Woronora Dam","91%","2023-11-07 07:15:34",2023-11-07
"How Much Rain have We had?","0.0MM","2023-11-07 07:15:34",2023-11-07
"How Much Water is in Our Dams?","88%","2023-11-07 07:15:34",2023-11-07
"How Much Water have we Used","1,531ML","2023-11-07 07:15:34",2023-11-07
