"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-18 07:15:51",2023-10-18
"Blue Mountains Dams","85%","2023-10-18 07:15:51",2023-10-18
"Cataract Dam","66%","2023-10-18 07:15:51",2023-10-18
"Cordeaux Dam","66%","2023-10-18 07:15:51",2023-10-18
"Fitzroy Falls Reservoir","66%","2023-10-18 07:15:51",2023-10-18
"Nepean Dam","72%","2023-10-18 07:15:51",2023-10-18
"Prospect Reservoir","79%","2023-10-18 07:15:51",2023-10-18
"Tallowa Dam","13%","2023-10-18 07:15:51",2023-10-18
"Warragamba Dam","94%","2023-10-18 07:15:51",2023-10-18
"Wingecarribee Reservoir","63%","2023-10-18 07:15:51",2023-10-18
"Woronora Dam","91%","2023-10-18 07:15:51",2023-10-18
"How Much Rain have We had?","1.4MM","2023-10-18 07:15:51",2023-10-18
"How Much Water is in Our Dams?","89%","2023-10-18 07:15:51",2023-10-18
"How Much Water have we Used","9,568ML","2023-10-18 07:15:51",2023-10-18
