"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","81%","2023-08-28 07:15:14",2023-08-28
"Blue Mountains Dams","85%","2023-08-28 07:15:14",2023-08-28
"Cataract Dam","67%","2023-08-28 07:15:14",2023-08-28
"Cordeaux Dam","76%","2023-08-28 07:15:14",2023-08-28
"Fitzroy Falls Reservoir","74%","2023-08-28 07:15:14",2023-08-28
"Nepean Dam","73%","2023-08-28 07:15:14",2023-08-28
"Prospect Reservoir","93%","2023-08-28 07:15:14",2023-08-28
"Tallowa Dam","33%","2023-08-28 07:15:14",2023-08-28
"Warragamba Dam","95%","2023-08-28 07:15:14",2023-08-28
"Wingecarribee Reservoir","68%","2023-08-28 07:15:14",2023-08-28
"Woronora Dam","94%","2023-08-28 07:15:14",2023-08-28
"How Much Rain have We had?","0.3MM","2023-08-28 07:15:14",2023-08-28
"How Much Water is in Our Dams?","91%","2023-08-28 07:15:14",2023-08-28
"How Much Water have we Used","10,025ML","2023-08-28 07:15:14",2023-08-28
