"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","76%","2023-11-20 07:16:48",2023-11-20
"Blue Mountains Dams","84%","2023-11-20 07:16:48",2023-11-20
"Cataract Dam","68%","2023-11-20 07:16:48",2023-11-20
"Cordeaux Dam","64%","2023-11-20 07:16:48",2023-11-20
"Fitzroy Falls Reservoir","63%","2023-11-20 07:16:48",2023-11-20
"Nepean Dam","69%","2023-11-20 07:16:48",2023-11-20
"Prospect Reservoir","94%","2023-11-20 07:16:48",2023-11-20
"Tallowa Dam","0%","2023-11-20 07:16:48",2023-11-20
"Warragamba Dam","92%","2023-11-20 07:16:48",2023-11-20
"Wingecarribee Reservoir","59%","2023-11-20 07:16:48",2023-11-20
"Woronora Dam","90%","2023-11-20 07:16:48",2023-11-20
"How Much Rain have We had?","0.0MM","2023-11-20 07:16:48",2023-11-20
"How Much Water is in Our Dams?","87%","2023-11-20 07:16:48",2023-11-20
"How Much Water have we Used","1,468ML","2023-11-20 07:16:48",2023-11-20
