"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","82%","2023-08-24 07:15:08",2023-08-24
"Blue Mountains Dams","85%","2023-08-24 07:15:08",2023-08-24
"Cataract Dam","67%","2023-08-24 07:15:08",2023-08-24
"Cordeaux Dam","77%","2023-08-24 07:15:08",2023-08-24
"Fitzroy Falls Reservoir","74%","2023-08-24 07:15:08",2023-08-24
"Nepean Dam","73%","2023-08-24 07:15:08",2023-08-24
"Prospect Reservoir","93%","2023-08-24 07:15:08",2023-08-24
"Tallowa Dam","42%","2023-08-24 07:15:08",2023-08-24
"Warragamba Dam","95%","2023-08-24 07:15:08",2023-08-24
"Wingecarribee Reservoir","68%","2023-08-24 07:15:08",2023-08-24
"Woronora Dam","95%","2023-08-24 07:15:08",2023-08-24
"How Much Rain have We had?","0.2MM","2023-08-24 07:15:08",2023-08-24
"How Much Water is in Our Dams?","92%","2023-08-24 07:15:08",2023-08-24
"How Much Water have we Used","1,293ML","2023-08-24 07:15:08",2023-08-24
